ID,Quote,Author,Characters,Wikipedia,Source
Q001,Freedom lies in being bold.,Robert Frost,27,https://en.wikipedia.org/wiki/Robert_Frost,https://bernardzitzer.com/list-quotes-courage/
Q002,"With enough courage, you can do without a reputation.",Margaret Mitchell,53,https://en.wikipedia.org/wiki/Margaret_Mitchell,https://bernardzitzer.com/list-quotes-courage/
Q003,Those who fight can lose. Those who don't fight have already lost.,Bertolt Brecht,66,https://en.wikipedia.org/wiki/Bertolt_Brecht,https://bernardzitzer.com/list-quotes-courage/
Q004,"Courage is fire, and bullying is smoke.",Benjamin Disraeli,39,https://en.wikipedia.org/wiki/Benjamin_Disraeli,https://www.inc.com/geoffrey-james/77-motivational-quotes-that-will-give-you-courage.html
Q005,Courage is contagious.,Billy Graham,22,https://en.wikipedia.org/wiki/Billy_Graham,https://www.inc.com/geoffrey-james/77-motivational-quotes-that-will-give-you-courage.html
Q006,"Mistakes are always forgivable, if one has the courage to admit them.",Bruce Lee,69,https://en.wikipedia.org/wiki/Bruce_Lee,https://www.inc.com/geoffrey-james/77-motivational-quotes-that-will-give-you-courage.html
Q007,Without fear there cannot be courage.,Christopher Paolini,37,https://en.wikipedia.org/wiki/Christopher_Paolini,https://bernardzitzer.com/list-quotes-courage/
Q008,Have the courage to use your own mind.,Immanuel Kant,38,https://en.wikipedia.org/wiki/Immanuel_Kant,https://bernardzitzer.com/list-quotes-courage/
Q009,You must do the thing which you think you cannot do.,Eleanor Roosevelt,52,https://en.wikipedia.org/wiki/Eleanor_Roosevelt,https://www.goodgoodgood.co/articles/courage-quotes
Q010,Courage doesn't always roar.,Mary Anne Radmacher,28,,https://www.goodgoodgood.co/articles/courage-quotes
Q011,Courage is essential to leadership.,Andy Stanley,35,https://en.wikipedia.org/wiki/Andy_Stanley,https://wellbeing.gmu.edu/famous-quotes-on-courage-and-leadership/
Q012,Courage is grace under pressure.,Ernest Hemingway,32,https://en.wikipedia.org/wiki/Ernest_Hemingway,https://reflectivepaths.com/action-quotes/
Q013,Without courage we cannot practice any other virtue with consistency.,Maya Angelou,69,https://en.wikipedia.org/wiki/Maya_Angelou,https://conantleadership.com/38-quotes-about-bravery-and-leadership/
Q014,The courage to imagine the otherwise is our greatest resource.,Daniel J. Boorstin,62,https://en.wikipedia.org/wiki/Daniel_J._Boorstin,https://www.inc.com/geoffrey-james/77-motivational-quotes-that-will-give-you-courage.html
Q015,"All our dreams can come true, if we have the courage to pursue them.",Walt Disney,68,https://en.wikipedia.org/wiki/Walt_Disney,https://www.linkedin.com/pulse/200-motivational-quotes-give-you-courage-success-2023-sonia-mcdonald
Q016,"Don't be afraid to challenge the pros, even in their own backyard.",Colin Powell,66,https://en.wikipedia.org/wiki/Colin_Powell,https://conantleadership.com/38-quotes-about-bravery-and-leadership/
Q017,You miss 100% of the shots you don't take.,Wayne Gretzky,42,https://en.wikipedia.org/wiki/Wayne_Gretzky,https://avoidthedrift.substack.com/p/motivational-quotes-to-start-your
Q018,Inaction breeds doubt and fear. Action breeds confidence and courage.,Dale Carnegie,69,https://en.wikipedia.org/wiki/Dale_Carnegie,https://www.goodgoodgood.co/articles/courage-quotes
Q019,Forget everything except what you're going to do now and do it.,William Durant,63,https://en.wikipedia.org/wiki/William_C._Durant,https://avoidthedrift.substack.com/p/motivational-quotes-to-start-your
Q020,"Enough words have been exchanged, let me finally see some actions!",Johann Wolfgang von Goethe,66,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,https://bernardzitzer.com/list-quotes-courage/
Q021,Well done is better than well said.,Benjamin Franklin,35,https://en.wikipedia.org/wiki/Benjamin_Franklin,https://www.success.com/ready-set-go-13-quotes-to-inspire-you-to-take-action
Q022,Let your performance do the thinking.,Charlotte Bronte,37,https://en.wikipedia.org/wiki/Charlotte_Brontë,https://www.success.com/ready-set-go-13-quotes-to-inspire-you-to-take-action
Q023,The secret of getting ahead is getting started.,Mark Twain,47,https://en.wikipedia.org/wiki/Mark_Twain,https://destinationcles.com/60-best-inspirational-quotes-for-lawyers/
Q024,"The longer you wait for the future, the shorter it will be.",Loesje,59,,https://www.success.com/ready-set-go-13-quotes-to-inspire-you-to-take-action
Q025,The elevator to success is out of order.,Joe Girard,40,https://en.wikipedia.org/wiki/Joe_Girard,https://www.linkedin.com/pulse/200-motivational-quotes-give-you-courage-success-2023-sonia-mcdonald
Q026,"Veni, vidi, vici.",Julius Caesar,17,https://en.wikipedia.org/wiki/Julius_Caesar,https://avoidthedrift.substack.com/p/motivational-quotes-to-start-your
Q027,The way to get started is to quit talking and begin doing.,Walt Disney,58,https://en.wikipedia.org/wiki/Walt_Disney,https://www.indeed.com/career-advice/career-development/hard-work-quotes
Q028,Do not whine. Do not complain. Work harder.,Joan Didion,43,https://en.wikipedia.org/wiki/Joan_Didion,https://www.indeed.com/career-advice/career-development/hard-work-quotes
Q029,The future depends on what you do today.,Mahatma Gandhi,40,https://en.wikipedia.org/wiki/Mahatma_Gandhi,https://www.indeed.com/career-advice/career-development/hard-work-quotes
Q030,Sometimes you just have to go for it.,Michelle Zatlyn,37,https://en.wikipedia.org/wiki/Michelle_Zatlyn,https://www.shopify.com/blog/entrepreneur-quotes
Q031,Security is mostly a superstition. Life is either a daring adventure or nothing.,Helen Keller,80,https://en.wikipedia.org/wiki/Helen_Keller,https://reflectivepaths.com/action-quotes/
Q032,"A ship is safe in harbor, but that's not what ships are for.",John A. Shedd,60,,https://reflectivepaths.com/action-quotes/
Q033,"If you risk nothing, you risk everything.",Geena Davis,41,https://en.wikipedia.org/wiki/Geena_Davis,https://reflectivepaths.com/action-quotes/
Q034,Don't be afraid to give up the good to go for the great.,John D. Rockefeller,56,https://en.wikipedia.org/wiki/John_D._Rockefeller,https://reflectivepaths.com/action-quotes/
Q035,"The dangers of life are infinite, and among them is safety.",Johann Wolfgang von Goethe,59,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,https://reflectivepaths.com/action-quotes/
Q036,Don't compete with rivals; make them irrelevant.,W. Chan Kim,48,https://en.wikipedia.org/wiki/W._Chan_Kim,https://itdworld.com/blog/leadership/competition-quotes/
Q037,"To stay ahead, you must have your next idea waiting in the wings.",Rosabeth Moss Kanter,65,https://en.wikipedia.org/wiki/Rosabeth_Moss_Kanter,https://itdworld.com/blog/leadership/competition-quotes/
Q038,Continued innovation is the best way to beat the competition.,Thomas A. Edison,61,https://en.wikipedia.org/wiki/Thomas_Edison,https://itdworld.com/blog/leadership/competition-quotes/
Q039,Competition is the fuel that ignites innovation.,Simon Sinek,48,https://en.wikipedia.org/wiki/Simon_Sinek,https://itdworld.com/blog/leadership/competition-quotes/
Q040,"Focus on your customers, not your competitors.",Jeff Bezos,46,https://en.wikipedia.org/wiki/Jeff_Bezos,https://enterpriseleague.com/blog/business-competition-quotes/
Q041,"In business, the most successful companies don't compete, they dominate.",Peter Thiel,72,https://en.wikipedia.org/wiki/Peter_Thiel,https://enterpriseleague.com/blog/business-competition-quotes/
Q042,Competition brings out the best in products and the worst in people.,David Sarnoff,68,https://en.wikipedia.org/wiki/David_Sarnoff,https://enterpriseleague.com/blog/business-competition-quotes/
Q043,"Competitors don't put you out of business, but you obsessing over competitors does.",Alex Hormozi,83,https://en.wikipedia.org/wiki/Alex_Hormozi,https://quotlr.com/quotes-about-business-competition
Q044,"Competition is the keen cutting edge of business, always shaving away at costs.",Henry Ford,79,https://en.wikipedia.org/wiki/Henry_Ford,https://quotlr.com/quotes-about-business-competition
Q045,Make your product easier to buy than your competition.,Mark Cuban,54,https://en.wikipedia.org/wiki/Mark_Cuban,https://quotlr.com/quotes-about-business-competition
Q046,Organizational health is the single greatest competitive advantage in any business.,Patrick Lencioni,83,https://en.wikipedia.org/wiki/Patrick_Lencioni,https://quotlr.com/quotes-about-business-competition
Q047,Without the spur of competition we'd loaf out our life.,Arnold Glasow,55,,https://www.inc.com/peter-economy/20-brilliant-quotes-on-competition-from-highly-successful-business-leaders.html
Q048,Competition is always a good thing. It forces us to do our best.,Nancy Pearcey,64,https://en.wikipedia.org/wiki/Nancy_Pearcey,https://www.inc.com/peter-economy/20-brilliant-quotes-on-competition-from-highly-successful-business-leaders.html
Q049,Buy or bury the competition.,Jack Welch,28,https://en.wikipedia.org/wiki/Jack_Welch,https://www.inc.com/peter-economy/20-brilliant-quotes-on-competition-from-highly-successful-business-leaders.html
Q050,I'm not in competition with anybody but myself.,Celine Dion,47,https://en.wikipedia.org/wiki/Celine_Dion,https://quotlr.com/quotes-about-business-competition
Q051,"Compete with yourself, not with others. Keep improving.",Roy T. Bennett,55,,https://blog.innertune.com/competition-quotes/
Q052,There are only two options regarding commitment; you're either in or you're out.,Pat Riley,80,https://en.wikipedia.org/wiki/Pat_Riley,https://quotlr.com/quotes-about-business-competition
Q053,Don't be cocky. Don't be flashy. There's always someone better than you.,Tony Hsieh,72,https://en.wikipedia.org/wiki/Tony_Hsieh,https://www.americanexpress.com/en-us/business/blueprint/resource-center/start/100-quotes-from-successful-entrepreneurs/
Q054,Supreme excellence consists in breaking the enemy's resistance without fighting.,Sun Tzu,80,https://en.wikipedia.org/wiki/Sun_Tzu,https://www.brainyquote.com/topics/excellence-quotes
Q055,You have to expect things of yourself before you can do them.,Michael Jordan,61,https://en.wikipedia.org/wiki/Michael_Jordan,https://avoidthedrift.substack.com/p/motivational-quotes-to-start-your
